quantidade,arvore de busca binaria,arvore avl
1,1,1
2,2,2
3,1,1
4,1,2
5,4,3
6,4,3
7,4,2
8,4,1
9,5,3
10,3,4
11,6,3
12,5,4
13,5,2
14,3,3
15,4,3
16,2,1
17,7,3
18,5,3
19,1,3
20,4,1
21,6,4
22,4,4
23,6,1
24,4,4
25,7,6
26,1,3
27,9,5
28,7,3
29,6,5
30,4,4
31,8,4
32,8,4
33,7,3
34,9,6
35,5,4
36,5,4
37,7,5
38,4,5
39,7,5
40,4,2
41,10,6
42,10,5
43,6,4
44,3,4
45,6,6
46,9,4
47,5,3
48,7,4
49,3,5
50,11,5
51,3,5
52,8,5
53,6,5
54,7,6
55,4,5
56,7,5
57,9,5
58,5,5
59,8,6
60,6,6
61,11,6
62,5,4
63,7,5
64,7,6
65,10,6
66,9,6
67,6,4
68,8,4
69,6,6
70,7,5
71,5,6
72,9,6
73,11,5
74,10,6
75,10,6
76,9,5
77,7,6
78,2,6
79,6,5
80,6,6
81,10,6
82,8,6
83,8,6
84,7,6
85,6,6
86,10,6
87,8,5
88,4,5
89,11,5
90,7,3
91,8,5
92,3,1
93,8,6
94,9,5
95,9,5
96,13,6
97,5,7
98,9,5
99,10,6
100,10,6
101,7,6
102,8,6
103,6,4
104,9,6
105,5,4
106,10,6
107,5,7
108,8,7
109,10,3
110,10,6
111,7,8
112,7,5
113,9,7
114,5,4
115,4,6
116,7,6
117,4,7
118,8,5
119,5,7
120,11,6
121,12,6
122,9,6
123,7,1
124,5,5
125,6,6
126,10,7
127,6,7
128,9,6
129,2,5
130,10,6
131,8,7
132,6,5
133,6,7
134,7,7
135,12,7
136,8,6
137,10,8
138,9,6
139,7,7
140,8,6
141,9,5
142,12,7
143,8,6
144,6,7
145,6,6
146,8,7
147,8,6
148,8,6
149,16,7
150,7,4
151,12,7
152,12,6
153,9,6
154,15,7
155,10,6
156,7,6
157,5,5
158,11,5
159,5,7
160,9,6
161,8,4
162,3,7
163,12,5
164,6,7
165,9,7
166,8,6
167,8,6
168,8,6
169,11,7
170,10,7
171,10,5
172,9,8
173,8,6
174,12,6
175,4,3
176,10,7
177,10,1
178,4,6
179,11,5
180,11,7
181,7,3
182,15,4
183,10,7
184,6,7
185,13,7
186,16,7
187,12,8
188,5,7
189,7,6
190,7,5
191,7,7
192,1,7
193,4,7
194,9,6
195,9,6
196,10,4
197,6,6
198,7,7
199,8,6
200,6,8
201,11,7
202,14,7
203,13,4
204,12,8
205,9,6
206,7,7
207,9,7
208,7,7
209,9,9
210,10,8
211,7,7
212,5,3
213,13,9
214,9,6
215,8,8
216,9,5
217,16,6
218,8,7
219,8,7
220,6,8
221,6,6
222,7,7
223,10,8
224,8,5
225,11,7
226,10,6
227,11,6
228,8,7
229,3,5
230,12,6
231,4,2
232,13,6
233,10,7
234,6,2
235,12,6
236,8,7
237,5,7
238,16,8
239,8,5
240,8,8
241,6,4
242,8,7
243,7,6
244,8,8
245,8,7
246,8,6
247,14,8
248,7,8
249,8,7
250,8,7
251,9,7
252,13,7
253,6,8
254,13,8
255,9,7
256,8,7
257,9,7
258,6,6
259,6,7
260,11,8
261,10,7
262,13,7
263,8,8
264,9,7
265,5,8
266,12,6
267,6,8
268,7,6
269,6,7
270,14,6
271,9,8
272,13,2
273,6,8
274,10,8
275,10,6
276,13,7
277,10,8
278,4,8
279,9,8
280,10,8
281,11,7
282,16,8
283,13,7
284,7,8
285,10,8
286,10,8
287,6,7
288,9,8
289,10,7
290,12,8
291,12,6
292,11,8
293,11,7
294,8,6
295,7,8
296,5,7
297,11,5
298,12,8
299,8,7
300,11,6
301,8,5
302,12,8
303,12,6
304,9,9
305,13,7
306,8,8
307,9,8
308,11,8
309,7,8
310,5,8
311,14,7
312,13,6
313,3,9
314,11,9
315,10,7
316,13,9
317,11,5
318,12,9
319,11,7
320,7,6
321,16,9
322,12,3
323,11,7
324,9,7
325,11,5
326,12,8
327,6,5
328,13,7
329,7,5
330,5,8
331,8,7
332,9,6
333,5,8
334,7,9
335,10,8
336,15,7
337,11,7
338,11,8
339,9,8
340,12,8
341,11,7
342,11,9
343,6,7
344,12,8
345,10,8
346,10,9
347,8,7
348,16,7
349,3,8
350,11,8
351,12,8
352,12,8
353,11,5
354,3,7
355,9,8
356,11,7
357,11,9
358,10,8
359,10,8
360,6,8
361,13,7
362,14,8
363,15,8
364,10,9
365,10,9
366,7,6
367,15,8
368,6,8
369,11,8
370,9,8
371,6,8
372,4,7
373,9,5
374,15,8
375,16,8
376,9,8
377,9,8
378,7,8
379,5,8
380,12,9
381,14,7
382,9,5
383,11,6
384,11,8
385,10,8
386,9,8
387,10,7
388,10,8
389,10,4
390,6,8
391,10,7
392,15,6
393,14,8
394,10,7
395,12,6
396,13,8
397,1,6
398,5,7
399,10,7
400,13,8
401,11,9
402,10,8
403,11,8
404,8,8
405,8,9
406,13,8
407,15,8
408,10,8
409,6,9
410,9,8
411,14,9
412,8,7
413,13,7
414,12,9
415,10,8
416,11,8
417,12,8
418,9,8
